sg_uf,nm_municipio,ds_genero,ds_raca_cor,ds_grau_instrucao,qtd
RN,Natal,FEMININO,Branca,ENSINO MÉDIO COMPLETO,2425
RN,Natal,FEMININO,Branca,ENSINO MÉDIO INCOMPLETO,1539
RN,Natal,FEMININO,Branca,LÊ E ESCREVE,86
RN,Natal,FEMININO,Branca,SUPERIOR COMPLETO,1968
RN,Natal,FEMININO,Branca,SUPERIOR INCOMPLETO,904
RN,Natal,FEMININO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,4
RN,Natal,FEMININO,Indígena,ENSINO MÉDIO COMPLETO,5
RN,Natal,FEMININO,Indígena,ENSINO MÉDIO INCOMPLETO,8
RN,Natal,FEMININO,Indígena,SUPERIOR COMPLETO,2
RN,Natal,FEMININO,Indígena,SUPERIOR INCOMPLETO,2
RN,Natal,FEMININO,NÃO INFORMADO,ANALFABETO,5613
RN,Natal,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,14410
RN,Natal,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,51616
RN,Natal,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,89964
RN,Natal,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,42637
RN,Natal,FEMININO,NÃO INFORMADO,LÊ E ESCREVE,11715
RN,Natal,FEMININO,NÃO INFORMADO,NÃO INFORMADO,2
RN,Natal,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,54923
RN,Natal,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,25063
RN,Natal,FEMININO,Parda,ANALFABETO,165
RN,Natal,FEMININO,Parda,ENSINO FUNDAMENTAL COMPLETO,592
RN,Natal,FEMININO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,2008
RN,Natal,FEMININO,Parda,ENSINO MÉDIO COMPLETO,3070
RN,Natal,FEMININO,Parda,ENSINO MÉDIO INCOMPLETO,2470
RN,Natal,FEMININO,Parda,LÊ E ESCREVE,271
RN,Natal,FEMININO,Parda,SUPERIOR COMPLETO,1330
RN,Natal,FEMININO,Parda,SUPERIOR INCOMPLETO,662
RN,Natal,FEMININO,Preta,ANALFABETO,23
RN,Natal,FEMININO,Preta,ENSINO FUNDAMENTAL COMPLETO,86
RN,Natal,FEMININO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,319
RN,Natal,FEMININO,Preta,ENSINO MÉDIO COMPLETO,481
RN,Natal,FEMININO,Preta,ENSINO MÉDIO INCOMPLETO,424
RN,Natal,FEMININO,Preta,LÊ E ESCREVE,52
RN,Natal,FEMININO,Preta,SUPERIOR COMPLETO,165
RN,Natal,FEMININO,Preta,SUPERIOR INCOMPLETO,105
RN,Natal,MASCULINO,Amarela,ANALFABETO,1
RN,Natal,MASCULINO,Amarela,ENSINO FUNDAMENTAL COMPLETO,4
RN,Natal,MASCULINO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,12
RN,Natal,MASCULINO,Amarela,ENSINO MÉDIO COMPLETO,23
RN,Natal,MASCULINO,Amarela,ENSINO MÉDIO INCOMPLETO,22
RN,Natal,MASCULINO,Amarela,LÊ E ESCREVE,1
RN,Natal,MASCULINO,Amarela,SUPERIOR COMPLETO,11
RN,Natal,MASCULINO,Amarela,SUPERIOR INCOMPLETO,6
RN,Natal,MASCULINO,Branca,ANALFABETO,87
RN,Natal,MASCULINO,Branca,ENSINO FUNDAMENTAL COMPLETO,219
RN,Natal,MASCULINO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,772
RN,Natal,MASCULINO,Branca,ENSINO MÉDIO COMPLETO,1848
RN,Natal,MASCULINO,Branca,ENSINO MÉDIO INCOMPLETO,1554
RN,Natal,MASCULINO,Branca,LÊ E ESCREVE,81
RN,Natal,MASCULINO,Branca,SUPERIOR COMPLETO,1067
RN,Natal,MASCULINO,Branca,SUPERIOR INCOMPLETO,695
RN,Natal,MASCULINO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,3
RN,Natal,MASCULINO,Indígena,ENSINO MÉDIO COMPLETO,8
RN,Natal,MASCULINO,Indígena,ENSINO MÉDIO INCOMPLETO,9
RN,Natal,MASCULINO,Indígena,LÊ E ESCREVE,1
RN,Natal,MASCULINO,Indígena,SUPERIOR COMPLETO,7
RN,Natal,MASCULINO,Indígena,SUPERIOR INCOMPLETO,3
RN,Natal,MASCULINO,NÃO INFORMADO,ANALFABETO,4010
RN,Natal,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,12878
RN,Natal,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,42700
RN,Natal,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,71626
RN,Natal,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,40531
RN,Natal,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,9038
RN,Natal,MASCULINO,NÃO INFORMADO,NÃO INFORMADO,1
RN,Natal,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,38128
RN,Natal,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,22642
RN,Natal,MASCULINO,Parda,ANALFABETO,238
RN,Natal,MASCULINO,Parda,ENSINO FUNDAMENTAL COMPLETO,619
RN,Natal,MASCULINO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,2025
RN,Natal,MASCULINO,Parda,ENSINO MÉDIO COMPLETO,2481
RN,Natal,MASCULINO,Parda,ENSINO MÉDIO INCOMPLETO,2528
RN,Natal,MASCULINO,Parda,LÊ E ESCREVE,278
RN,Natal,MASCULINO,Parda,SUPERIOR COMPLETO,798
RN,Natal,MASCULINO,Parda,SUPERIOR INCOMPLETO,552
RN,Natal,MASCULINO,Preta,ANALFABETO,51
RN,Natal,MASCULINO,Preta,ENSINO FUNDAMENTAL COMPLETO,90
RN,Natal,MASCULINO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,398
RN,Natal,MASCULINO,Preta,ENSINO MÉDIO COMPLETO,472
RN,Natal,MASCULINO,Preta,ENSINO MÉDIO INCOMPLETO,508
RN,Natal,MASCULINO,Preta,LÊ E ESCREVE,57
RN,Natal,MASCULINO,Preta,SUPERIOR COMPLETO,112
RN,Natal,MASCULINO,Preta,SUPERIOR INCOMPLETO,111
RN,Natal,NÃO INFORMADO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,1
SE,Aracaju,FEMININO,Amarela,ENSINO FUNDAMENTAL COMPLETO,6
SE,Aracaju,FEMININO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,13
SE,Aracaju,FEMININO,Amarela,ENSINO MÉDIO COMPLETO,48
SE,Aracaju,FEMININO,Amarela,ENSINO MÉDIO INCOMPLETO,14
SE,Aracaju,FEMININO,Amarela,SUPERIOR COMPLETO,24
SE,Aracaju,FEMININO,Amarela,SUPERIOR INCOMPLETO,7
SE,Aracaju,FEMININO,Branca,ANALFABETO,22
SE,Aracaju,FEMININO,Branca,ENSINO FUNDAMENTAL COMPLETO,103
SE,Aracaju,FEMININO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,260
SE,Aracaju,FEMININO,Branca,ENSINO MÉDIO COMPLETO,1018
SE,Aracaju,FEMININO,Branca,ENSINO MÉDIO INCOMPLETO,614
SE,Aracaju,FEMININO,Branca,LÊ E ESCREVE,23
SE,Aracaju,FEMININO,Branca,SUPERIOR COMPLETO,776
SE,Aracaju,FEMININO,Branca,SUPERIOR INCOMPLETO,444
SE,Aracaju,FEMININO,Indígena,ENSINO MÉDIO COMPLETO,1
SE,Aracaju,FEMININO,Indígena,ENSINO MÉDIO INCOMPLETO,1
SE,Aracaju,FEMININO,Indígena,SUPERIOR COMPLETO,1
SE,Aracaju,FEMININO,NÃO INFORMADO,ANALFABETO,2304
SE,Aracaju,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,9220
SE,Aracaju,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,36882
SE,Aracaju,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,64853
SE,Aracaju,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,30312
SE,Aracaju,FEMININO,NÃO INFORMADO,LÊ E ESCREVE,7580
SE,Aracaju,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,44071
SE,Aracaju,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,22443
SE,Aracaju,FEMININO,Parda,ANALFABETO,98
SE,Aracaju,FEMININO,Parda,ENSINO FUNDAMENTAL COMPLETO,271
SE,Aracaju,FEMININO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,1288
SE,Aracaju,FEMININO,Parda,ENSINO MÉDIO COMPLETO,2587
SE,Aracaju,FEMININO,Parda,ENSINO MÉDIO INCOMPLETO,1617
SE,Aracaju,FEMININO,Parda,LÊ E ESCREVE,139
SE,Aracaju,FEMININO,Parda,SUPERIOR COMPLETO,1141
SE,Aracaju,FEMININO,Parda,SUPERIOR INCOMPLETO,623
SE,Aracaju,FEMININO,Preta,ANALFABETO,18
SE,Aracaju,FEMININO,Preta,ENSINO FUNDAMENTAL COMPLETO,66
SE,Aracaju,FEMININO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,301
SE,Aracaju,FEMININO,Preta,ENSINO MÉDIO COMPLETO,638
SE,Aracaju,FEMININO,Preta,ENSINO MÉDIO INCOMPLETO,441
SE,Aracaju,FEMININO,Preta,LÊ E ESCREVE,29
SE,Aracaju,FEMININO,Preta,SUPERIOR COMPLETO,215
SE,Aracaju,FEMININO,Preta,SUPERIOR INCOMPLETO,158
SE,Aracaju,MASCULINO,Amarela,ANALFABETO,1
SE,Aracaju,MASCULINO,Amarela,ENSINO FUNDAMENTAL INCOMPLETO,9
SE,Aracaju,MASCULINO,Amarela,ENSINO MÉDIO COMPLETO,15
SE,Aracaju,MASCULINO,Amarela,ENSINO MÉDIO INCOMPLETO,11
SE,Aracaju,MASCULINO,Amarela,SUPERIOR COMPLETO,8
SE,Aracaju,MASCULINO,Amarela,SUPERIOR INCOMPLETO,5
SE,Aracaju,MASCULINO,Branca,ANALFABETO,30
SE,Aracaju,MASCULINO,Branca,ENSINO FUNDAMENTAL COMPLETO,73
SE,Aracaju,MASCULINO,Branca,ENSINO FUNDAMENTAL INCOMPLETO,261
SE,Aracaju,MASCULINO,Branca,ENSINO MÉDIO COMPLETO,889
SE,Aracaju,MASCULINO,Branca,ENSINO MÉDIO INCOMPLETO,632
SE,Aracaju,MASCULINO,Branca,LÊ E ESCREVE,21
SE,Aracaju,MASCULINO,Branca,SUPERIOR COMPLETO,428
SE,Aracaju,MASCULINO,Branca,SUPERIOR INCOMPLETO,374
SE,Aracaju,MASCULINO,Indígena,ENSINO FUNDAMENTAL COMPLETO,1
SE,Aracaju,MASCULINO,Indígena,ENSINO FUNDAMENTAL INCOMPLETO,1
SE,Aracaju,MASCULINO,Indígena,ENSINO MÉDIO COMPLETO,4
SE,Aracaju,MASCULINO,Indígena,ENSINO MÉDIO INCOMPLETO,2
SE,Aracaju,MASCULINO,Indígena,SUPERIOR COMPLETO,2
SE,Aracaju,MASCULINO,Indígena,SUPERIOR INCOMPLETO,2
SE,Aracaju,MASCULINO,NÃO INFORMADO,ANALFABETO,1388
SE,Aracaju,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,8278
SE,Aracaju,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,32544
SE,Aracaju,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,51237
SE,Aracaju,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,27509
SE,Aracaju,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,5608
SE,Aracaju,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,27488
SE,Aracaju,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,20486
SE,Aracaju,MASCULINO,Parda,ANALFABETO,127
SE,Aracaju,MASCULINO,Parda,ENSINO FUNDAMENTAL COMPLETO,272
SE,Aracaju,MASCULINO,Parda,ENSINO FUNDAMENTAL INCOMPLETO,1272
SE,Aracaju,MASCULINO,Parda,ENSINO MÉDIO COMPLETO,2085
SE,Aracaju,MASCULINO,Parda,ENSINO MÉDIO INCOMPLETO,1666
SE,Aracaju,MASCULINO,Parda,LÊ E ESCREVE,143
SE,Aracaju,MASCULINO,Parda,SUPERIOR COMPLETO,627
SE,Aracaju,MASCULINO,Parda,SUPERIOR INCOMPLETO,488
SE,Aracaju,MASCULINO,Preta,ANALFABETO,30
SE,Aracaju,MASCULINO,Preta,ENSINO FUNDAMENTAL COMPLETO,76
SE,Aracaju,MASCULINO,Preta,ENSINO FUNDAMENTAL INCOMPLETO,413
SE,Aracaju,MASCULINO,Preta,ENSINO MÉDIO COMPLETO,602
SE,Aracaju,MASCULINO,Preta,ENSINO MÉDIO INCOMPLETO,564
SE,Aracaju,MASCULINO,Preta,LÊ E ESCREVE,31
SE,Aracaju,MASCULINO,Preta,SUPERIOR COMPLETO,114
SE,Aracaju,MASCULINO,Preta,SUPERIOR INCOMPLETO,118
